district,mandal,date,rain_(mm),min_humidity_(%),max_humidity_(%),date_yyyy_mm
Adilabad,Gadiguda,2025-06-22,6.4,63.3,95.7,2025-06
Adilabad,Gadiguda,2025-06-23,0.7,64.9,86.9,2025-06
Adilabad,Gadiguda,2025-06-24,3.6,67.4,95.7,2025-06
Adilabad,Gadiguda,2025-06-25,7.1,74.9,96.5,2025-06
Adilabad,Gadiguda,2025-06-26,50.1,82.3,96.3,2025-06
Adilabad,Gadiguda,2025-06-27,4.4,85.6,96.5,2025-06
Adilabad,Gadiguda,2025-06-28,8.6,78.1,96.1,2025-06
Adilabad,Gadiguda,2025-06-29,0.0,65.8,86.3,2025-06
Adilabad,Gadiguda,2025-06-30,6.3,77.9,96.1,2025-06
Adilabad,Gudihathnur,2025-04-06,0.0,44.8,75.5,2025-04
Adilabad,Gudihathnur,2025-08-06,0.0,37.5,70.8,2025-08
Adilabad,Gudihathnur,2025-12-06,0.0,70.1,98.2,2025-12
Adilabad,Gudihathnur,2025-02-06,0.0,47.8,76.4,2025-02
Adilabad,Gudihathnur,2025-01-06,0.0,56.7,76.6,2025-01
Adilabad,Gudihathnur,2025-07-06,0.0,39.3,69.4,2025-07
Adilabad,Gudihathnur,2025-06-06,0.0,58.8,76.4,2025-06
Adilabad,Gudihathnur,2025-03-06,0.0,54.1,75.6,2025-03
Adilabad,Gudihathnur,2025-05-06,0.0,44.2,75.9,2025-05
Adilabad,Gudihathnur,2025-11-06,22.7,70.9,99.9,2025-11
Adilabad,Gudihathnur,2025-10-06,43.5,64.0,98.8,2025-10
Adilabad,Gudihathnur,2025-09-06,4.4,38.7,94.4,2025-09
Adilabad,Gudihathnur,2025-06-13,8.2,73.4,100.0,2025-06
Adilabad,Gudihathnur,2025-06-14,1.9,74.0,100.0,2025-06
Adilabad,Gudihathnur,2025-06-15,0.0,68.7,91.9,2025-06
Adilabad,Gudihathnur,2025-06-16,0.0,71.1,86.1,2025-06
Adilabad,Gudihathnur,2025-06-17,3.6,74.0,100.0,2025-06
Adilabad,Gudihathnur,2025-06-18,0.0,60.9,84.4,2025-06
Adilabad,Gudihathnur,2025-06-19,0.8,68.1,88.0,2025-06
Adilabad,Gudihathnur,2025-06-20,7.5,71.1,99.8,2025-06
Adilabad,Gudihathnur,2025-06-21,0.0,63.0,81.9,2025-06
Adilabad,Gudihathnur,2025-06-22,28.5,67.1,100.0,2025-06
Adilabad,Gudihathnur,2025-06-23,6.7,69.1,100.0,2025-06
Adilabad,Gudihathnur,2025-06-24,3.7,77.3,100.0,2025-06
Adilabad,Gudihathnur,2025-06-25,24.4,77.3,100.0,2025-06
Adilabad,Gudihathnur,2025-06-26,111.2,83.1,100.0,2025-06
Adilabad,Gudihathnur,2025-06-27,0.9,88.8,100.0,2025-06
Adilabad,Gudihathnur,2025-06-28,15.4,83.1,100.0,2025-06
Adilabad,Gudihathnur,2025-06-29,0.0,73.9,94.9,2025-06
Adilabad,Gudihathnur,2025-06-30,5.7,84.4,100.0,2025-06
Adilabad,Ichoda,2025-04-06,0.0,38.2,68.9,2025-04
Adilabad,Ichoda,2025-08-06,0.0,35.5,64.4,2025-08
Adilabad,Ichoda,2025-12-06,0.0,58.6,88.3,2025-12
Adilabad,Ichoda,2025-02-06,0.0,37.9,62.4,2025-02
Adilabad,Ichoda,2025-01-06,0.0,51.0,80.9,2025-01
Adilabad,Ichoda,2025-07-06,0.0,38.4,72.7,2025-07
Adilabad,Ichoda,2025-06-06,0.0,46.9,79.0,2025-06
Adilabad,Ichoda,2025-03-06,0.0,44.5,69.2,2025-03
